ranking.2017,ranking.2016,ranking.2015,ranking.3-year.average,School.name,Country,Programme.name,Salary.today,Weighted.salary,Salary.percentage.increase,Value.for.money.rank,Career.progress.rank,Aims.achieved,Careers.service.rank,Employed.at.three.months,Female.faculty,Female.students,Women.on.board,International.faculty,International.students,International.board,International.mobility.rank,International.course.experience.rank,Languages,Faculty.with.doctorates,Maximum.course.fee,Course.length,Number.enrolled,Relevant.degree,Company.internships
79,74,61,71,University of Bradford School of Management,UK,MSc in Management,41990,41990,44,64,47,80,87,100 (40),44,43,29,28,83,43,27,89,0,86,"14,950",12,86,No,0
80,76,,,EM Strasbourg Business School,France,MSc in Management,49440,49552,38,58,76,80,79,69 (75),59,53,28,23,13,25,42,21,2,77,"17,000",36,441,No,100
81,67,76,75,Burgundy School of Business,France,Master in Management,48081,47876,31,76,83,77,62,92 (92),44,54,24,40,22,22,61,25,2,75,"19,000",32,499,Yes,100
82,81,72,78,"University of Economics, Prague",Czech Republic,Master in Management,38356,38542,70,26,36,81,93,95 (82),45,56,20,7,19,35,68,63,1,85,"Kc97,200",28,402,No,9
83,80,80,81,University of Exeter Business School,UK,MSc in International Management,48152,48152,43,59,68,86,44,40 (14),34,51,18,49,80,24,80,85,0,86,"19,000",11,105,No,0
84,,,,ISCTE Business School,Portugal,MSc in Business Administration,39738,39738,48,22,73,83,55,75 (49),47,52,50,9,26,78,92,74,0,98,"9,800",23,61,No,0
84,78,78,80,Politecnico di Milano School of Management,Italy,MSc in Management Engineering,44169,42734,55,27,18,76,43,96 (71),37,34,41,9,27,59,72,65,0,77,"6,717",25,693,No,50
86,86,,,DCU Business School,Ireland,MSc in Management,46013,46013,34,31,63,85,91,93 (75),49,28,42,13,44,17,51,89,0,80,"14,000",12,64,No,0
87,82,,,Arizona State University: Carey,US,MSc in Management,56500,56500,40,53,95,76,74,51 (100),24,41,12,30,28,2,5,89,0,90,"43,682",9,39,No,0
88,,,,Alliance Manchester Business School,UK,MSc in Business Analysis and Strategic Management,43755,43755,40,85,33,81,63,73 (68),36,79,44,44,96,12,53,86,0,90,"21,000",14,95,No,91
89,84,,,Tilburg University,Netherlands,MSc in International Management,55838,55838,33,17,42,76,95,77 (51),19,43,40,41,21,0,46,80,0,83,"14,000",14,98,Yes,16
90,87,,,National Sun Yat-sen University,Taiwan,Master of Business Administration,41205,41205,30,37,80,80,64,89 (100),26,55,38,9,5,38,82,66,1,99,"NT$216,560",27,42,No,41
91,88,,,"Adam Smith Business School, University of Glasgow",UK,MSc in Management,33822,33822,59,95,61,82,42,100 (2),40,66,30,60,97,10,89,89,0,73,"19,500",12,67,No,0
92,78,77,82,ESC Clermont,France,Master in Management,47098,46942,32,62,89,77,72,83 (74),58,36,11,34,21,0,59,51,2,68,"23,250",24,177,No,100
93,,,,Nottingham Business School at NTU,UK,MSc in Management,32316,32316,30,87,57,82,25,87 (60),46,43,26,32,88,26,69,88,0,60,"14,250",13,150,No,100
94,,,,Luiss University,Italy,Master in Management,44827,44827,69,84,8,80,90,55 (67),26,45,33,11,10,89,73,55,0,49,"20,500",25,267,Yes,100
95,,,,KU Leuven Faculty of Economics and Business,Belgium,MSc in Business Engineering,45894,45894,24,28,94,85,92,98 (40),38,39,11,9,1,0,88,54,0,88,"1,750",24,210,Yes,3
